,Mkt-Rf,SMB,HML,Rf
1988-04-01,-0.0036638248528394783,-0.0018134358753530717,-0.009426159977872132,0.0003638248528394783
1988-04-02,0.0015506894921028952,0.004933257010089104,-0.008411898862454768,0.00034931050789710483
1988-04-04,0.004450689492102895,-0.006115162350088517,0.00031202404801028254,0.00034931050789710483
1988-04-06,-0.003971062251521614,0.006510709301934582,-0.0008992675125049216,0.00037106225152161443
1988-04-07,-0.004338389955058638,-0.0022832520866262296,0.0019642064362678973,0.0003383899550586378
1988-04-08,-0.008810634717394886,0.0021757113160614486,-0.0020618671226446937,0.00041063471739488655
1988-04-09,0.00043617514716052174,0.0006514095909512675,-0.004448031945419135,0.0003638248528394783
1988-04-11,-0.01218189376691422,0.0028049336291994845,-0.0011805740471737894,0.00038189376691422083
1988-04-12,-0.0013602012190617732,-0.003023243898314322,0.007276727907587405,0.00036020121906177316
1988-04-13,0.014243425712338996,0.0026562415741430236,0.008020556775366804,0.0003565742876610045
1988-04-14,-0.005856574287661005,0.0013769267328353877,-0.005839583821340336,0.0003565742876610045
1988-04-15,-0.0012638248528394783,0.0023508797933397252,0.003592455616399152,0.0003638248528394783
1988-04-16,-0.0005456736474458655,-0.0005966052359989276,-0.003229294291451203,0.0003456736474458655
1988-04-18,-0.015956574287661007,0.0005220899551326985,-0.006452090522811643,0.0003565742876610045
1988-04-19,-0.004671062251521614,-0.00177372720279905,-0.005587166285384236,0.00037106225152161443
1988-04-20,0.007336175147160522,-0.005448817812682745,0.0005677512732979962,0.0003638248528394783
1988-04-21,-0.015256574287661005,-0.0009654300814626709,-0.010150468628759176,0.0003565742876610045
1988-04-22,0.0040616100449413625,-0.0013810250948237143,0.0004441816148520252,0.0003383899550586378
1988-04-23,0.017325323971617297,-0.006225143462199236,0.007799304696844063,0.0003746760283827033
1988-04-25,0.004139798780938227,0.003189329679039595,0.0029611174862508717,0.00036020121906177316
1988-04-27,-0.04066382485283948,0.005745505045467679,-0.01526114846015788,0.0003638248528394783
1988-04-28,0.023136175147160522,-0.007406290649621776,0.008711088239682708,0.0003638248528394783
1988-04-29,0.02594705594738179,-7.884301381368373e-05,0.019436487596937526,0.00035294405261820927
1988-04-30,-0.004552944052618209,0.005052099823501536,0.0002483361740192357,0.00035294405261820927
1988-05-02,0.004028937748478386,-0.00035270917847102814,0.01024894970127795,0.00037106225152161443
1988-05-03,-0.002667445194997318,0.0023399211313769853,-0.0005215789005430127,0.00036744519499731787
1988-05-04,-0.004720122271922019,0.0023616440376914107,-0.006264326019387252,0.0003201222719220187
1988-05-06,-0.009545673647445865,0.005426330927332247,-0.007607682715599829,0.0003456736474458655
1988-05-07,-0.0003164586657313784,-0.005476145868698216,-0.004797263773559148,0.0003164586657313784
1988-05-09,-0.007096290148907186,0.002389556840825735,-0.006382608655989137,0.0003962901489071857
1988-05-10,-0.0025529440526182094,9.258355094006617e-05,-0.00017400942073814802,0.00035294405261820927
1988-05-11,0.003736175147160521,-0.0021167264412963616,0.00029249326938625723,0.0003638248528394783
1988-05-12,0.021643425712338998,-0.003469365605019777,0.01612571549015108,0.0003565742876610045
1988-05-13,0.007143425712338995,0.0018334218233749197,-0.0022847026780599363,0.0003565742876610045
1988-05-14,0.002732554805002682,-0.0012726114108121054,-0.0015081835067904162,0.00036744519499731787
1988-05-16,0.0012434257123389956,0.00195687537396292,-2.9908401947829552e-05,0.0003565742876610045
1988-05-17,0.017350689492102896,0.00044767303521911955,0.002370132570141589,0.00034931050789710483
1988-05-18,0.012261610044941362,0.0005899765146128838,0.004547972749059676,0.0003383899550586378
1988-05-19,-0.001142033465194902,0.0037910851656649393,-0.010228035069409176,0.00034203346519490196
1988-05-20,0.019354326352554133,0.002111247986194907,0.00786858992594552,0.0003456736474458655
1988-05-21,0.009387208311416997,0.0005133582909259959,0.0010615841080997383,0.0003127916885830029
1988-05-24,0.009860830100715725,-0.0035755916411293388,6.690044168399922e-05,0.0004391698992842752
1988-05-25,-0.003156574287661005,0.0010747702347855702,-0.0012798564075899846,0.0003565742876610045
1988-05-26,0.018532554805002682,0.0014021275016519706,0.00798875596186056,0.00036744519499731787
1988-05-27,-0.005556574287661004,0.004638674127295679,-0.0015314109267563821,0.0003565742876610045
1988-05-28,0.004754326352554135,0.004504498709450046,-0.0004409559151827662,0.0003456736474458655
1988-05-30,-0.0002746760283827033,0.0008628696306261958,-0.006832391133253547,0.0003746760283827033
1988-05-31,0.0002470559473817907,-1.9756272812004004e-05,0.005752865261568513,0.00035294405261820927
1988-06-01,0.00824705594738179,-0.002441225590623855,0.010076208668726189,0.00035294405261820927
1988-06-02,-0.0014529440526182093,-0.003922141936903136,-0.005012394957200055,0.00035294405261820927
1988-06-03,0.009239798780938226,-0.004943836839242902,0.009299989315986629,0.00036020121906177316
1988-06-04,-0.0022456736474458653,-0.0014092906189829507,0.0008899273243126332,0.0003456736474458655
1988-06-07,0.0062217134684657335,-0.00475917038140531,0.010753139264068266,0.0003782865315342665
1988-06-08,-0.0018602012190617732,-0.003216472828154949,0.005984850537745184,0.00036020121906177316
1988-06-09,0.007639798780938227,-0.0034560657215289958,0.011991012598128336,0.00036020121906177316
1988-06-10,-0.009189098458029258,-0.0011814175991311851,-0.008480917023755166,0.0003890984580292578
1988-06-11,-0.007260201219061773,6.504674142804427e-05,-0.0016343857472132265,0.00036020121906177316
1988-06-13,-6.0201219061773185e-05,0.0013170137298195727,-0.005894144698307531,0.00036020121906177316
1988-06-14,-0.017063824852839478,0.002023259958699885,-0.019792845712528106,0.0003638248528394783
